,ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural (Residence),Urban (Residence),Poorest (Wealth quintile),Richest (Wealth quintile)
58,SRB,Serbia,ECA,EECA,Upper middle income (UM),95,91,97,74,100
59,SLE,Sierra Leone,SSA,WCA,Low income (L),18,5,29,0,43
60,SOM,Somalia,SSA,ESA,Low income (L),14,0,0,0,0
61,ZAF,South Africa,SSA,ESA,Upper middle income (UM),18,0,0,0,0
62,SSD,South Sudan,SSA,ESA,Low income (L),1,0,1,0,2
63,LKA,Sri Lanka,SA,SA,Upper middle income (UM),73,70,89,74,99
64,SDN,Sudan,SSA,ESA,Lower middle income (LM),5,2,12,0,21
65,SUR,Suriname,LAC,LAC,Upper middle income (UM),55,44,59,24,94
66,TJK,Tajikistan,ECA,EECA,Low income (L),26,21,42,8,51
67,THA,Thailand,EAP,EAP,Upper middle income (UM),77,73,83,60,97
68,MKD,North Macedonia,ECA,EECA,Upper middle income (UM),93,92,94,75,100
69,TGO,Togo,SSA,WCA,Low income (L),31,11,56,0,80
70,TON,Tonga,EAP,EAP,Upper middle income (UM),91,89,96,85,93
71,TTO,Trinidad and Tobago,LAC,LAC,High income (H),51,41,60,7,97
72,TUN,Tunisia,MENA,MENA,Lower middle income (LM),45,26,54,19,88
73,TUR,Turkey,ECA,EECA,Upper middle income (UM),40,16,47,2,92
74,TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),52,43,64,39,84
75,UGA,Uganda,SSA,ESA,Low income (L),1,0,4,0,3
76,UKR,Ukraine,ECA,EECA,Lower middle income (LM),179,0,79,0,0
77,GBR,United Kingdom,ECA,,High income (H),99,0,0,0,0
78,URY,Uruguay,LAC,LAC,High income (H),70,48,73,53,0
79,UZB,Uzbekistan,ECA,EECA,Lower middle income (LM),22,17,38,0,70
80,VNM,Viet Nam,EAP,EAP,Lower middle income (LM),67,0,67,0,0
81,ZMB,Zambia,SSA,ESA,Lower middle income (LM),7,3,14,0,28
82,ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),29,20,51,5,64
