,ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural (Residence),Urban (Residence),Poorest (Wealth quintile),Richest (Wealth quintile)
61,STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),44,37,48,20,75
62,SEN,Senegal,SSA,WCA,Lower middle income (LM),5,2,10,1,21
63,SRB,Serbia,ECA,EECA,Upper middle income (UM),94,91,97,71,100
64,SLE,Sierra Leone,SSA,WCA,Low income (L),13,4,25,0,39
65,SOM,Somalia,SSA,ESA,Low income (L),13,0,0,0,0
66,ZAF,South Africa,SSA,ESA,Upper middle income (UM),20,0,0,0,0
67,SSD,South Sudan,SSA,ESA,Low income (L),0,0,1,0,2
68,LKA,Sri Lanka,SA,SA,Upper middle income (UM),70,67,86,71,99
69,SDN,Sudan,SSA,ESA,Lower middle income (LM),3,1,9,0,18
70,SUR,Suriname,LAC,LAC,Upper middle income (UM),50,37,57,22,93
71,TJK,Tajikistan,ECA,EECA,Low income (L),24,20,38,6,46
72,THA,Thailand,EAP,EAP,Upper middle income (UM),71,67,78,47,96
73,MKD,North Macedonia,ECA,EECA,Upper middle income (UM),92,90,93,70,100
74,TGO,Togo,SSA,WCA,Low income (L),23,7,49,0,78
75,TON,Tonga,EAP,EAP,Upper middle income (UM),91,90,94,83,95
76,TTO,Trinidad and Tobago,LAC,LAC,High income (H),44,34,52,3,96
77,TUN,Tunisia,MENA,MENA,Lower middle income (LM),39,22,47,13,83
78,TUR,Turkey,ECA,EECA,Upper middle income (UM),36,14,43,2,90
79,TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),46,37,58,32,77
80,UGA,Uganda,SSA,ESA,Low income (L),0,0,2,0,2
81,UKR,Ukraine,ECA,EECA,Lower middle income (LM),71,0,71,0,0
82,GBR,United Kingdom,ECA,,High income (H),99,0,0,0,0
83,URY,Uruguay,LAC,LAC,High income (H),63,47,65,35,0
84,UZB,Uzbekistan,ECA,EECA,Lowerr middle income (LM),19,16,29,1,69
85,VNM,Viet Nam,EAP,EAP,Lower middle income (LM),62,0,62,0,0
86,ZMB,Zambia,SSA,ESA,Lower middle income (LM),6,2,13,0,28
87,ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),26,18,49,4,62
